ab_name_ecf1,appropriate_body_id,hub_region,ab_name_riab
Saffron Teaching School Hub (Saffron Walden County High School),4cb21fcf-d643-4120-9c5b-2d105abcb4af,EE1,Saffron Teaching School Hub
Inspiration Teaching School Hub,a77df925-7b9e-4957-a3b4-aa9d9318a7cd,EE10,Inspiration Teaching School Hub
Chafford Hundred Teaching School Hub (Harris Academy Chafford Hundred),c99bfcf6-1dc6-49fd-9a28-abe670720883,EE5,Chafford Hundred Teaching School Hub
Unity Teaching School Hub (Churchill Special Free School),3162da6d-8b35-4861-9939-48cb85d802f7,EE6/EE2,Unity Teaching School Hub
Alban Teaching School Hub (Sandringham School),acff7f4a-2967-44c2-8c2a-99b4552dd9a8,EE7,Alban Teaching School Hub
Chiltern Teaching School Hub (Denbigh High School),1db342ef-4b29-452d-b105-12ae959b631d,EE8&EE9,Chiltern Teaching School Hub
Leicestershire & Rutland TS Hub (Christ the King Catholic Voluntary Academy),5baa0a83-ccf7-4c25-9564-81754b481337,EM1,Leicestershire & Rutland TS Hub
Redhill Teaching School Hub (The Carlton Junior Academy),83ebc588-154b-4afc-87d1-cf3f3005e3d9,EM2,Redhill Teaching Hub
Potentia Teaching School Hub (Swanwick School),287967cc-40f7-4e7e-b1b0-786f1767d06c,EM3,Potentia TSH
Flying High Teaching School Hub (The Flying High Academy),ec9f0d00-4ab7-44d9-97a9-8057bce3f5b4,EM4,Flying High Teaching School Hub
Leicester & Leicestershire Teaching School Hub (Rushey Mead Academy),f68d9fe5-fe43-4186-8495-8ea0b182821d,EM5,Leicester & Leicestershire TSH
L.E.A.D. Teaching School Hub Lincolnshire (Witham St Hughs Academy),742bdf50-5a2b-45d8-9131-36ddaaccbf08,EM6,L.E.A.D. Teaching School Hub Lincolnshire
Spencer Teaching School Hub (Chetwynd Spencer Academy),a3c3064a-52ba-4bfe-b4b5-3b9991d2b9ce,EM7,Spencer Teaching School Hub
Northamptonshire Teaching School Hub (Brooke Weston Academy),80d6265f-8ca4-4604-a3cb-b4512b8e4ae2,EM8,Northamptonshire Teaching School Hub
East London Teaching School Hub (Mulberry School for Girls),e883f73b-48e5-4bb9-b577-d3151f7a94d7,L1,East London Teaching School Hub
Thames South Teaching School Hub  (Pickhurst Infant Academy),710e9278-b3fe-4bf6-8b26-e118647ae80a,L10,Thames South Teaching School Hub
London District East Teaching School Hub (Tollgate Primary School),3fbad505-80d8-4aed-b5cb-141270b3e5c7,L2,London District East Teaching School Hub
Cambridgeshire and Peterborough Teaching School Hub (Histon and Impington Brook Primary School),c14321bb-cd23-4076-bc9d-9b264cf7255b,L3,Cambridgeshire and Peterborough Teaching School Hub
North East London Teaching School Hub (Harris Chobham Academy),bb014ec5-a974-4173-adcc-8cd9f8573fb0,L3,North East London Teaching School Hub
North West London Teaching School Hub (NWLTSH) (Wembley High Technology College),7a6fa110-9550-4a54-8952-5d063f5d9d1f,L4,North West London Teaching School Hub
Teach West London (Twyford Church of England High School),658c4468-30d9-4563-8581-0d20c075220f,L5,Teach West London
Central London Teaching School Hub (Paddington Academy),6b433d0a-2244-4132-931f-c7c17b8fa68c,L6,Central London Teaching School Hub
Wandle Teaching School Hub (Chesterton Primary School),cda22c42-2e71-45d0-914a-d2fafadd52ea,L7,Wandle Teaching School Hub
Harris City Academy Crystal Palace Teaching School Hub (Harris City Academy Crystal Palace),9e78be52-5598-4883-881c-814f63fb91e7,L8,Harris City Academy Crystal Palace Teaching School Hub
London South Teaching School Hub (Charles Dickens Primary School),da694a86-d043-4aea-b4b1-dfb85a93eb88,L9,London South Teaching School Hub
The Three Rivers Teaching School Hub (The King Edward VI Academy),9bb3b070-00b9-4881-a118-7c5d71f412de,NE1,The Three Rivers Teaching School Hub
"Tees Valley Teaching School Hub (St John Vianney Catholic Primary School, Hartlepool)",ff335729-990b-4e0f-9f05-1fb279491a68,NE2,Tees Valley Teaching School Hub
Northern Lights Teaching School Hub: South Tyne & Wear (Benedict Biscop Church of England Academy),3b9cf79f-5bd4-4b81-b627-0d5ccac8b5bf,NE3,Northern Lights TSH: South Tyne & Wear
NELT Teaching School Hub (Teesdale School and Sixth Form),cc390aa6-4d13-46a0-8e05-960fe4e198dc,NE4,NELTSH Teaching School Hub
Inspire Learning Teaching School Hub NW (Our Lady of Pity Catholic Primary School),3028b162-409f-4143-90d7-e312357b1300,NW1,Inspire Learning Teaching School Hub NW
The East Manchester Teaching School Hub (The Blue Coat CofE School),d4d9529e-aca5-41ff-881b-267a8570aaac,NW10,The East Manchester Teaching Hub
One Cumbria Teaching School Hub (Queen Elizabeth Grammar School Penrith),53eee9d4-7458-4cce-aaac-2358801d1e91,NW11,One Cumbria Teaching School Hub
Cheshire Teaching School Hub (St Joseph's College),98634cc2-e894-4959-82b3-ac27cbbbf72d,NW12,Cheshire Teaching School Hub
Generate Teaching School Hub (Evelyn Street Primary Academy and Nursery),30d88c98-1d82-4e9c-af08-c39bbd78acb0,NW2,Generate Teaching Hub
"Star Teaching School Hub Bolton, Bury, Rochdale (Eden Boys' School Bolton)",52697507-c765-4445-91df-35e01bbac58d,NW3/NW4/NW5,Star Teaching School Hub Pennine Lancashire
Star Teaching School Hub North West Lancashire (Eden Boys' School Bolton),3e7e39de-a62c-4940-bdb1-8c47f3970a92,NW3/NW4/NW5,Star Teaching School Hub Pennine Lancashire
Star Teaching School Hub Pennine Lancashire (Eden Boys' School Bolton),46469655-8d0f-4a8c-9966-0fae6a00162a,NW3/NW4/NW5,Star Teaching School Hub Pennine Lancashire
Embrace Teaching School Hub (SW Lancashire) (Tor View School),0f6720a7-097c-406a-aa60-29ba7eb1ca21,NW6,Embrace Teaching School Hub (SW Lancashire)
Bright Futures Teaching School Hub (Altrincham Grammar School for Girls),d39267fc-ded1-49e0-b6ae-1161b3f3b439,NW7/NW9,Bright Futures Teaching School Hub-Salford & Trafford
Rainbow Teaching School Hub (St Silas Church of England Primary School),4206bdd2-1806-40ff-a44e-41dc52dabd62,NW8,Rainbow Teaching School Hub
"The Julian Teaching School Hub (Notre Dame High School, Norwich)",f8ab3d0e-8b2f-4156-ab18-267c3b651a1d,NW9,The Julian Teaching School Hub
STEP Ahead Teaching School Hub (Angel Oak Academy),dadd329c-6055-4e1c-b0ef-8ebc68f064a2,SE1,STEP Ahead Teaching School Hub
Teaching School Hub Berkshire (Langley Grammar School),21a0cc8d-e737-4ab4-87f4-d9b80c91d5b0,SE10,TSH Berkshire
SFET Teaching School Hub (South Farnham School),9f914a53-8e75-4671-ad0f-410645a12850,SE11,SFET Teaching School Hub
Thames Gateway Teaching School Hub (Sir Joseph Williamson's Mathematical School),c3e06654-9827-4ded-9ab5-c6bf7bfb6b0e,SE12,Thames Gateway Teaching School Hub
Kent Teaching School hub (Bennett Memorial Diocesan School),6ee878a2-2328-4270-951a-368349fabc48,SE2 / SE8,Kent Teaching School Hub
HISP Teaching School Hub (Thornden School),7ca83340-10da-4525-a8fd-3cb6c14f386c,SE3,HISP Teaching School Hub (Thornden School)
GLF West Sussex Teaching School Hub (Rosebery School),33f2e3a7-0bf6-4f2f-970f-c5e94c9f2d20,SE4,GLF West Sussex Teaching School Hub
"Xavier Teaching School Hub (St John the Baptist Catholic Comprehensive School, Woking)",7c59dc41-d732-4367-b236-564c01aee4c1,SE5,Xavier Teaching School Hub
"Astra Teaching School Hub, Buckinghamshire (Dr Challoner's Grammar School)",77bf65fb-493b-4d3c-86eb-6a2c9839a32d,SE6,"Astra Teaching School Hub, Buckinghamshire"
HISP Teaching School Hub (Portswood Primary School),db5d0a2e-7bab-45d8-aa98-3de2b0e19c95,SE7,HISP Teaching School Hub (Portswood Primary)
Oxfordshire Teaching School Hub (The Cherwell School),ac3b03c0-f34e-4221-b6f7-d12b49d4ebb4,SE9,Oxfordshire Teaching School Hub
South Central Teaching School Hub (The Quay School),cb1611b7-ae1a-4e20-88cf-b7691b69d366,SW1,South Central Teaching School Hub
Balcarras (Balcarras School),105eee26-443c-4696-9a9b-3458e394cdee,SW10,Balcarras
One Cornwall Teaching School Hub  (East Cornwall) (The Roseland Academy),87cf3a47-887a-4766-ad15-2b200aa06024,SW11,One Cornwall Teaching School Hub (East Cornwall)
Odyssey Teaching School Hub  (Pate's Grammar School),dfc0062b-40a6-4fb5-9630-33911bfe024f,SW2,Odyssey Teaching School Hub
SWIFT Kingsbridge Teaching School Hub (Kingsbridge Academy),3bd3c5fe-8c39-4f9c-af3e-ae992ad0ff30,SW3,Kingsbridge Teaching School Hub
SWIFT Colyton Teaching School Hub (Colyton Grammar School),e300d8d8-caf0-4f90-9147-bee0d6d40e4b,SW4,Colyton Teaching School Hub
Five Counties Teaching School Hubs Alliance (Bristol/North Somerset) (Bristol Metropolitan Academy),86ad4e94-0571-4c27-a0fc-15ac35cdb355,SW5/SW9,Five Counties Teaching School Hubs Alliance (Somerset)
Five Counties Teaching School Hubs Alliance (Somerset) (Bristol Metropolitan Academy),3f3a6140-56bc-453b-b945-5a46a224484e,SW5/SW9,Five Counties Teaching School Hubs Alliance (Somerset)
Five Counties Teaching School Hub - South Gloucestershire and Bath and North East Somerset  (Mangotsfield Church of England Voluntary Controlled Primary School),6a70cbe0-3df8-4e8b-a80c-5c2cc63a59a2,SW6,Five Counties Teaching School Hubs Alliance (South Glos/BANES)
Swindon and Wiltshire Teaching School Hub (Glenmoor Academy),d9f1f6de-bcca-44e7-85e7-b6eb6116ad08,SW7,Swindon and Wiltshire Teaching School Hub
One Cornwall Teaching School Hub (West) (Trenance Learning Academy),c0f863cc-d23c-446a-ab09-01ed3c55f92c,SW8,One Cornwall Teaching School Hub (West)
Prince Henry's Teaching School Hub (Prince Henry's High School),7fbadaef-a05e-43c4-acda-1ec176c0e781,WM1,Prince Henry's Teaching School Hub
Star Teaching School Hub Birmingham S (Eden Boysâ€™ School Birmingham),2e51f844-31b7-4483-9fea-2ba68b147375,WM10,Star Teaching School Hub Birmingham South
STEP (The Priory School),acf178fc-bf68-46b1-9605-47771d82dba8,WM2,STEP
John Taylor Teaching School Hub  (John Taylor High School),344aadbf-a964-4f9c-ae80-2194a574c236,WM3,John Taylor Teaching School Hub
"Tudor Grange Teaching School Hub (Tudor Grange Academy, Solihull)",832ff85f-ad31-4598-94c1-548e3f34947e,WM4,Tudor Grange Teaching School Hub
The Golden Thread Teaching School Hub (Painsley Catholic College),cacab004-f450-41bd-9947-e263481d035a,WM5,The Golden Thread Teaching School Hub
Coventry and Central Warwickshire Teaching School Hub (Lawrence Sheriff School),98f2a7b6-bc4e-45da-b4fa-6d5424ef1021,WM6,Coventry and Central Warwickshire Teaching School Hub
Haybridge Teaching School Hub (Haybridge High School and Sixth Form),ab2d6c9d-d5d8-4224-b2ae-0a83c8be6810,WM7,Haybridge Teaching School Hub
Manor Teaching School Hub (Manor Primary School),f5018a20-0ea5-49f0-8b00-0a51fa478b5b,WM8,Manor Teaching School Hub
Arthur Terry Teaching School Hub - North Birmingham (The Arthur Terry School),dac3b20c-2fe8-4d9f-bfa9-6bc0db00d1a8,WM9,Arthur Terry Teaching School Hub-North Birmingham
Exchange Teaching School Hub (Grange Lane Infant Academy),1c80a27a-1167-4a4f-a922-55ae84e1631e,YH1,Exchange Teaching School Hub
Red Kite Teaching School Hub (Harrogate Grammar School),c21360e8-3dbb-4b06-b2a7-0c189d11d962,YH10,Red Kite Teaching School Hub
South Yorkshire Teaching School Hub  (Silverdale School),8a0739eb-5a6e-40ae-b466-67cfa81346bf,YH2,South Yorkshire Teaching Hub
"Pathfinder Teaching School Hub  (Archbishop Holgate's School, A Church of England Academy)",c1496245-02f3-4dbe-b348-eb7eddc76175,YH3,Pathfinder Teaching School Hub
DRET Teaching School Hub (Humberston Academy),b448a843-3de3-4a0e-9c13-ea4341e08c8d,YH4,DRET Teaching School Hub
"The Vantage Teaching School Hub North Humber (St Mary's College, Voluntary Catholic Academy)",28a2de7e-0f10-4885-acbd-6bdd88d9e058,YH5,The Vantage Teaching School Hub North Humber
Exceed Teaching School Hub (Harden Primary Academy School),e5f5a644-6698-441b-8e52-640fa832a1b2,YH6,Exceed Teaching School Hub
"Calderdale and Kirklees Teaching School Hub (Shelley College, A Share Academy)",afd6665a-654f-4916-b0ec-7883c9ed5e12,YH7,Calderdale and Kirklees Teaching School Hub
Selby and Wakefield Teaching School Hub (The Vale Primary Academy),ba0947b9-3182-4d62-8d9b-9497019d6b85,YH8,Selby & Wakefield is Exchange TSH
Leeds Teaching School Hub (The Morley Academy),ac48354f-b75b-417e-b9d4-5ef0d2c674df,YH9,Leeds Teaching School Hub
Educational Success Partners (ESP),babb1465-bbee-4a68-b3bf-96677e26758c,,Educational Success Partners (ESP)
Independent Schools Teacher Induction Panel (IStip),2b4166b4-efb9-44ea-a848-318882ef5d3c,,Independent Schools Teacher Induction Panel (ISTIP)
National Teacher Accreditation (NTA),8fa977bf-20e6-421f-a48c-afe5f3626a0b,,National Teacher Accreditation
